,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
2089,2089,Sun 6 Oct,14:00,Gloucester Rugby,12-29,Exeter Chiefs,Kingsholm,2013-2014,12,29,Sun 6 Oct 2013
2090,2090,Fri 25 Oct,19:45,Bath Rugby,15-13,Gloucester Rugby,Recreation Ground,2013-2014,15,13,Fri 25 Oct 2013
2091,2091,Sat 26 Oct,15:00,Exeter Chiefs,40-6,Worcester Warriors,Sandy Park,2013-2014,40,6,Sat 26 Oct 2013
2092,2092,Sat 26 Oct,15:00,Harlequins,24-3,Sale Sharks,Twickenham Stoop,2013-2014,24,3,Sat 26 Oct 2013
2093,2093,Sat 26 Oct,15:15,Northampton Saints,41-20,Saracens,Franklin's Gardens,2013-2014,41,20,Sat 26 Oct 2013
2094,2094,Sun 27 Oct,14:00,London Wasps,22-12,Leicester Tigers,Adams Park,2013-2014,22,12,Sun 27 Oct 2013
2095,2095,Sun 27 Oct,15:00,Newcastle Falcons,13-11,London Irish,Kingston Park,2013-2014,13,11,Sun 27 Oct 2013
2096,2096,Fri 1 Nov,19:45,Worcester Warriors,6-21,Bath Rugby,Sixways,2013-2014,6,21,Fri 1 Nov 2013
2097,2097,Fri 1 Nov,20:00,Sale Sharks,16-18,Exeter Chiefs,AJ Bell Stadium,2013-2014,16,18,Fri 1 Nov 2013
2098,2098,Sat 2 Nov,17:00,Gloucester Rugby,30-32,London Wasps,Kingsholm,2013-2014,30,32,Sat 2 Nov 2013
2099,2099,Sat 2 Nov,17:30,Leicester Tigers,16-23,Harlequins,Welford Road,2013-2014,16,23,Sat 2 Nov 2013
2100,2100,Sun 3 Nov,14:00,London Irish,14-19,Northampton Saints,Madejski Stadium,2013-2014,14,19,Sun 3 Nov 2013
2101,2101,Sun 3 Nov,15:00,Saracens,40-3,Newcastle Falcons,Allianz Park,2013-2014,40,3,Sun 3 Nov 2013
2102,2102,Fri 22 Nov,19:45,Sale Sharks,26-10,Worcester Warriors,AJ Bell Stadium,2013-2014,26,10,Fri 22 Nov 2013
2103,2103,Sat 23 Nov,15:00,Exeter Chiefs,9-16,Saracens,Sandy Park,2013-2014,9,16,Sat 23 Nov 2013
2104,2104,Sat 23 Nov,15:00,Harlequins,27-19,Gloucester Rugby,Twickenham Stoop,2013-2014,27,19,Sat 23 Nov 2013
2105,2105,Sat 23 Nov,15:00,Leicester Tigers,20-11,London Irish,Welford Road,2013-2014,20,11,Sat 23 Nov 2013
2106,2106,Sat 23 Nov,15:15,Northampton Saints,18-0,Newcastle Falcons,Franklin's Gardens,2013-2014,18,0,Sat 23 Nov 2013
2107,2107,Sun 24 Nov,14:00,London Wasps,5-28,Bath Rugby,Adams Park,2013-2014,5,28,Sun 24 Nov 2013
2108,2108,Fri 29 Nov,19:45,Gloucester Rugby,17-22,Leicester Tigers,Kingsholm,2013-2014,17,22,Fri 29 Nov 2013
2109,2109,Sat 30 Nov,15:00,London Irish,12-19,London Wasps,Madejski Stadium,2013-2014,12,19,Sat 30 Nov 2013
2110,2110,Sat 30 Nov,15:00,Saracens,24-19,Sale Sharks,Allianz Park,2013-2014,24,19,Sat 30 Nov 2013
2111,2111,Sat 30 Nov,15:00,Worcester Warriors,10-33,Northampton Saints,Sixways,2013-2014,10,33,Sat 30 Nov 2013
2112,2112,Sat 30 Nov,15:15,Bath Rugby,21-16,Exeter Chiefs,Recreation Ground,2013-2014,21,16,Sat 30 Nov 2013
2113,2113,Sun 1 Dec,14:30,Newcastle Falcons,9-35,Harlequins,Kingston Park,2013-2014,9,35,Sun 1 Dec 2013
2114,2114,Fri 20 Dec,19:45,Sale Sharks,15-3,London Irish,AJ Bell Stadium,2013-2014,15,3,Fri 20 Dec 2013
2115,2115,Sat 21 Dec,15:00,Bath Rugby,14-3,Harlequins,Recreation Ground,2013-2014,14,3,Sat 21 Dec 2013
2116,2116,Sat 21 Dec,15:00,Exeter Chiefs,16-3,Newcastle Falcons,Sandy Park,2013-2014,16,3,Sat 21 Dec 2013
2117,2117,Sat 21 Dec,15:00,London Wasps,15-17,Northampton Saints,Adams Park,2013-2014,15,17,Sat 21 Dec 2013
2118,2118,Sat 21 Dec,15:15,Saracens,49-10,Leicester Tigers,Allianz Park,2013-2014,49,10,Sat 21 Dec 2013
2119,2119,Sun 22 Dec,14:00,Gloucester Rugby,12-6,Worcester Warriors,Kingsholm,2013-2014,12,6,Sun 22 Dec 2013
2120,2120,Fri 27 Dec,19:45,Newcastle Falcons,12-17,London Wasps,Kingston Park,2013-2014,12,17,Fri 27 Dec 2013
2121,2121,Sat 28 Dec,15:00,Leicester Tigers,30-23,Sale Sharks,Welford Road,2013-2014,30,23,Sat 28 Dec 2013
2122,2122,Sat 28 Dec,15:00,Northampton Saints,43-25,Bath Rugby,Franklin's Gardens,2013-2014,43,25,Sat 28 Dec 2013
2123,2123,Sat 28 Dec,15:00,Worcester Warriors,8-26,Saracens,Sixways,2013-2014,8,26,Sat 28 Dec 2013
2124,2124,Sat 28 Dec,16:00,Harlequins,22-6,Exeter Chiefs,Twickenham Stadium,2013-2014,22,6,Sat 28 Dec 2013
2125,2125,Sun 29 Dec,14:00,London Irish,19-22,Gloucester Rugby,Madejski Stadium,2013-2014,19,22,Sun 29 Dec 2013
2126,2126,Fri 3 Jan,19:45,Newcastle Falcons,8-16,Sale Sharks,Kingston Park,2013-2014,8,16,Fri 3 Jan 2014
2127,2127,Fri 3 Jan,19:45,Northampton Saints,23-9,Harlequins,Franklin's Gardens,2013-2014,23,9,Fri 3 Jan 2014
2128,2128,Sat 4 Jan,15:00,London Irish,22-9,Worcester Warriors,Madejski Stadium,2013-2014,22,9,Sat 4 Jan 2014
2129,2129,Sat 4 Jan,15:15,Gloucester Rugby,8-29,Saracens,Kingsholm,2013-2014,8,29,Sat 4 Jan 2014
2130,2130,Sun 5 Jan,14:00,Leicester Tigers,27-27,Bath Rugby,Welford Road,2013-2014,27,27,Sun 5 Jan 2014
2131,2131,Sun 5 Jan,15:00,London Wasps,19-16,Exeter Chiefs,Adams Park,2013-2014,19,16,Sun 5 Jan 2014
2132,2132,Fri 7 Feb,19:45,Worcester Warriors,22-23,Leicester Tigers,Sixways,2013-2014,22,23,Fri 7 Feb 2014
2133,2133,Fri 7 Feb,20:00,Sale Sharks,24-19,Gloucester Rugby,AJ Bell Stadium,2013-2014,24,19,Fri 7 Feb 2014
2134,2134,Sat 8 Feb,15:00,Bath Rugby,24-6,Newcastle Falcons,Recreation Ground,2013-2014,24,6,Sat 8 Feb 2014
2135,2135,Sat 8 Feb,15:00,Saracens,13-22,London Irish,Allianz Park,2013-2014,13,22,Sat 8 Feb 2014
2136,2136,Sat 8 Feb,19:00,Exeter Chiefs,16-17,Northampton Saints,Sandy Park,2013-2014,16,17,Sat 8 Feb 2014
2137,2137,Sun 9 Feb,13:00,Harlequins,11-10,London Wasps,Twickenham Stoop,2013-2014,11,10,Sun 9 Feb 2014
2138,2138,Fri 14 Feb,19:45,Sale Sharks,10-15,Saracens,AJ Bell Stadium,2013-2014,10,15,Fri 14 Feb 2014
2139,2139,Sat 15 Feb,15:00,Harlequins,18-14,Newcastle Falcons,Twickenham Stoop,2013-2014,18,14,Sat 15 Feb 2014
2140,2140,Sat 15 Feb,15:00,London Wasps,20-23,London Irish,Adams Park,2013-2014,20,23,Sat 15 Feb 2014
2141,2141,Sat 15 Feb,15:00,Northampton Saints,30-14,Worcester Warriors,Franklin's Gardens,2013-2014,30,14,Sat 15 Feb 2014
2142,2142,Sat 15 Feb,15:15,Exeter Chiefs,23-27,Bath Rugby,Sandy Park,2013-2014,23,27,Sat 15 Feb 2014
2143,2143,Sun 16 Feb,14:00,Leicester Tigers,11-8,Gloucester Rugby,Welford Road,2013-2014,11,8,Sun 16 Feb 2014
2144,2144,Sat 22 Feb,14:00,Bath Rugby,32-25,London Wasps,Recreation Ground,2013-2014,32,25,Sat 22 Feb 2014
2145,2145,Sat 22 Feb,14:00,Gloucester Rugby,25-20,Harlequins,Kingsholm,2013-2014,25,20,Sat 22 Feb 2014
2146,2146,Sat 22 Feb,14:00,Worcester Warriors,12-24,Sale Sharks,Sixways,2013-2014,12,24,Sat 22 Feb 2014
2147,2147,Sun 23 Feb,13:00,London Irish,15-20,Leicester Tigers,Madejski Stadium,2013-2014,15,20,Sun 23 Feb 2014
2148,2148,Sun 23 Feb,15:00,Newcastle Falcons,16-22,Northampton Saints,Kingston Park,2013-2014,16,22,Sun 23 Feb 2014
2149,2149,Sun 23 Feb,15:15,Saracens,23-10,Exeter Chiefs,Allianz Park,2013-2014,23,10,Sun 23 Feb 2014
2150,2150,Fri 28 Feb,19:45,Bath Rugby,10-23,Saracens,Recreation Ground,2013-2014,10,23,Fri 28 Feb 2014
2151,2151,Sat 1 Mar,15:00,Exeter Chiefs,18-0,London Irish,Sandy Park,2013-2014,18,0,Sat 1 Mar 2014
2152,2152,Sat 1 Mar,15:00,Harlequins,21-20,Worcester Warriors,Twickenham Stoop,2013-2014,21,20,Sat 1 Mar 2014
2153,2153,Sat 1 Mar,15:00,London Wasps,17-21,Sale Sharks,Adams Park,2013-2014,17,21,Sat 1 Mar 2014
2154,2154,Sat 1 Mar,15:15,Northampton Saints,39-13,Gloucester Rugby,Franklin's Gardens,2013-2014,39,13,Sat 1 Mar 2014
2155,2155,Sun 2 Mar,14:00,Newcastle Falcons,18-41,Leicester Tigers,Kingston Park,2013-2014,18,41,Sun 2 Mar 2014
2156,2156,Fri 21 Mar,19:45,Worcester Warriors,11-13,London Wasps,Sixways,2013-2014,11,13,Fri 21 Mar 2014
2157,2157,Sat 22 Mar,14:00,Sale Sharks,19-6,Northampton Saints,AJ Bell Stadium,2013-2014,19,6,Sat 22 Mar 2014
2158,2158,Sat 22 Mar,15:00,Gloucester Rugby,40-33,Newcastle Falcons,Kingsholm,2013-2014,40,33,Sat 22 Mar 2014
2159,2159,Sat 22 Mar,15:15,Saracens,39-17,Harlequins,Wembley Stadium,2013-2014,39,17,Sat 22 Mar 2014
2160,2160,Sat 22 Mar,17:30,London Irish,23-44,Bath Rugby,Madejski Stadium,2013-2014,23,44,Sat 22 Mar 2014
2161,2161,Sun 23 Mar,14:00,Leicester Tigers,45-15,Exeter Chiefs,Welford Road,2013-2014,45,15,Sun 23 Mar 2014
2162,2162,Fri 28 Mar,19:45,Bath Rugby,11-12,Sale Sharks,Recreation Ground,2013-2014,11,12,Fri 28 Mar 2014
2163,2163,Sat 29 Mar,15:00,Exeter Chiefs,13-14,Gloucester Rugby,Sandy Park,2013-2014,13,14,Sat 29 Mar 2014
2164,2164,Sat 29 Mar,15:00,Harlequins,23-9,London Irish,Twickenham Stoop,2013-2014,23,9,Sat 29 Mar 2014
2165,2165,Sat 29 Mar,15:00,London Wasps,20-32,Saracens,Adams Park,2013-2014,20,32,Sat 29 Mar 2014
2166,2166,Sat 29 Mar,15:15,Northampton Saints,16-22,Leicester Tigers,Franklin's Gardens,2013-2014,16,22,Sat 29 Mar 2014
2167,2167,Sun 30 Mar,14:00,Newcastle Falcons,12-17,Worcester Warriors,Kingston Park,2013-2014,12,17,Sun 30 Mar 2014
2168,2168,Fri 11 Apr,19:45,Sale Sharks,12-27,Harlequins,AJ Bell Stadium,2013-2014,12,27,Fri 11 Apr 2014
2169,2169,Sat 12 Apr,15:00,Leicester Tigers,27-15,London Wasps,Welford Road,2013-2014,27,15,Sat 12 Apr 2014
2170,2170,Sat 12 Apr,15:00,Worcester Warriors,33-38,Exeter Chiefs,Sixways,2013-2014,33,38,Sat 12 Apr 2014
2171,2171,Sat 12 Apr,15:15,Gloucester Rugby,17-18,Bath Rugby,Kingsholm,2013-2014,17,18,Sat 12 Apr 2014
2172,2172,Sun 13 Apr,14:00,Saracens,28-24,Northampton Saints,Allianz Park,2013-2014,28,24,Sun 13 Apr 2014
2173,2173,Sun 13 Apr,15:00,London Irish,40-12,Newcastle Falcons,Madejski Stadium,2013-2014,40,12,Sun 13 Apr 2014
2174,2174,Fri 18 Apr,19:45,Harlequins,24-20,Leicester Tigers,Twickenham Stoop,2013-2014,24,20,Fri 18 Apr 2014
2175,2175,Sat 19 Apr,15:00,Bath Rugby,32-20,Worcester Warriors,Recreation Ground,2013-2014,32,20,Sat 19 Apr 2014
2176,2176,Sat 19 Apr,15:00,Exeter Chiefs,12-55,Sale Sharks,Sandy Park,2013-2014,12,55,Sat 19 Apr 2014
2177,2177,Sat 19 Apr,15:15,London Wasps,38-30,Gloucester Rugby,Twickenham Stadium,2013-2014,38,30,Sat 19 Apr 2014
2178,2178,Sun 20 Apr,14:00,Northampton Saints,36-21,London Irish,Franklin's Gardens,2013-2014,36,21,Sun 20 Apr 2014
2179,2179,Sun 20 Apr,15:00,Newcastle Falcons,18-23,Saracens,Kingston Park,2013-2014,18,23,Sun 20 Apr 2014
2180,2180,Fri 2 May,19:45,Bath Rugby,19-19,Northampton Saints,Recreation Ground,2013-2014,19,19,Fri 2 May 2014
2181,2181,Sat 3 May,15:00,Gloucester Rugby,38-30,London Irish,Kingsholm,2013-2014,38,30,Sat 3 May 2014
2182,2182,Sat 3 May,15:00,London Wasps,44-38,Newcastle Falcons,Adams Park,2013-2014,44,38,Sat 3 May 2014
2183,2183,Sat 3 May,15:00,Saracens,44-20,Worcester Warriors,Allianz Park,2013-2014,44,20,Sat 3 May 2014
2184,2184,Sat 3 May,15:15,Sale Sharks,22-42,Leicester Tigers,AJ Bell Stadium,2013-2014,22,42,Sat 3 May 2014
2185,2185,Sun 4 May,14:00,Exeter Chiefs,29-30,Harlequins,Sandy Park,2013-2014,29,30,Sun 4 May 2014
2186,2186,Sat 10 May,15:15,Harlequins,19-16,Bath Rugby,Twickenham Stoop,2013-2014,19,16,Sat 10 May 2014
2187,2187,Sat 10 May,15:15,Leicester Tigers,31-27,Saracens,Welford Road,2013-2014,31,27,Sat 10 May 2014
2188,2188,Sat 10 May,15:15,London Irish,22-20,Sale Sharks,Madejski Stadium,2013-2014,22,20,Sat 10 May 2014
2189,2189,Sat 10 May,15:15,Newcastle Falcons,13-23,Exeter Chiefs,Kingston Park,2013-2014,13,23,Sat 10 May 2014
2190,2190,Sat 10 May,15:15,Northampton Saints,74-13,London Wasps,Franklin's Gardens,2013-2014,74,13,Sat 10 May 2014
2191,2191,Sat 10 May,15:15,Worcester Warriors,28-27,Gloucester Rugby,Sixways,2013-2014,28,27,Sat 10 May 2014
2192,2192,Fri 16 May,19:45,Northampton Saints,21-20,Leicester Tigers,Franklin's Gardens,2013-2014,21,20,Fri 16 May 2014
2193,2193,Sat 17 May,14:00,Saracens,31-17,Harlequins,Allianz Park,2013-2014,31,17,Sat 17 May 2014
2194,2194,Sat 31 May,15:00,Saracens,20-24,Northampton Saints,Twickenham Stadium,2013-2014,20,24,Sat 31 May 2014
2195,2195,Fri 5 Sep,19:45,Northampton Saints,53-6,Gloucester Rugby,Franklin's Gardens,2014-2015,53,6,Fri 5 Sep 2014
2196,2196,Sat 6 Sep,14:00,Sale Sharks,20-29,Bath Rugby,AJ Bell Stadium,2014-2015,20,29,Sat 6 Sep 2014
2197,2197,Sat 6 Sep,14:00,Saracens,34-28,Wasps,Twickenham Stadium,2014-2015,34,28,Sat 6 Sep 2014
2198,2198,Sat 6 Sep,15:00,Leicester Tigers,36-17,Newcastle Falcons,Welford Road,2014-2015,36,17,Sat 6 Sep 2014
2199,2199,Sat 6 Sep,16:30,London Irish,15-20,Harlequins,Twickenham Stadium,2014-2015,15,20,Sat 6 Sep 2014
2200,2200,Sun 7 Sep,14:00,London Welsh,0-52,Exeter Chiefs,Kassam Stadium,2014-2015,0,52,Sun 7 Sep 2014
2201,2201,Fri 12 Sep,19:45,Harlequins,0-39,Saracens,Twickenham Stoop,2014-2015,0,39,Fri 12 Sep 2014
2202,2202,Sat 13 Sep,15:00,Bath Rugby,53-26,London Welsh,Recreation Ground,2014-2015,53,26,Sat 13 Sep 2014
2203,2203,Sat 13 Sep,15:00,Gloucester Rugby,34-27,Sale Sharks,Kingsholm,2014-2015,34,27,Sat 13 Sep 2014
2204,2204,Sat 13 Sep,15:15,Exeter Chiefs,20-24,Leicester Tigers,Sandy Park,2014-2015,20,24,Sat 13 Sep 2014
2205,2205,Sun 14 Sep,14:00,Wasps,20-16,Northampton Saints,Adams Park,2014-2015,20,16,Sun 14 Sep 2014
2206,2206,Sun 14 Sep,15:00,Newcastle Falcons,18-20,London Irish,Kingston Park,2014-2015,18,20,Sun 14 Sep 2014
2207,2207,Fri 19 Sep,19:45,Gloucester Rugby,22-25,Exeter Chiefs,Kingsholm,2014-2015,22,25,Fri 19 Sep 2014
2208,2208,Sat 20 Sep,14:00,Sale Sharks,46-8,London Welsh,AJ Bell Stadium,2014-2015,46,8,Sat 20 Sep 2014
2209,2209,Sat 20 Sep,15:00,Harlequins,26-23,Wasps,Twickenham Stoop,2014-2015,26,23,Sat 20 Sep 2014
2210,2210,Sat 20 Sep,15:00,London Irish,32-36,Saracens,Madejski Stadium,2014-2015,32,36,Sat 20 Sep 2014
2211,2211,Sat 20 Sep,15:15,Bath Rugby,45-0,Leicester Tigers,Recreation Ground,2014-2015,45,0,Sat 20 Sep 2014
2212,2212,Sun 21 Sep,14:00,Newcastle Falcons,10-35,Northampton Saints,Kingston Park,2014-2015,10,35,Sun 21 Sep 2014
2213,2213,Fri 26 Sep,19:45,London Welsh,10-46,Gloucester Rugby,Kassam Stadium,2014-2015,10,46,Fri 26 Sep 2014
2214,2214,Sat 27 Sep,15:00,Leicester Tigers,19-22,London Irish,Welford Road,2014-2015,19,22,Sat 27 Sep 2014
2215,2215,Sat 27 Sep,15:00,Saracens,40-19,Sale Sharks,Allianz Park,2014-2015,40,19,Sat 27 Sep 2014
2216,2216,Sat 27 Sep,15:15,Northampton Saints,31-24,Bath Rugby,Franklin's Gardens,2014-2015,31,24,Sat 27 Sep 2014
2217,2217,Sun 28 Sep,14:00,Exeter Chiefs,36-13,Harlequins,Sandy Park,2014-2015,36,13,Sun 28 Sep 2014
2218,2218,Sun 28 Sep,14:00,Wasps,35-18,Newcastle Falcons,Adams Park,2014-2015,35,18,Sun 28 Sep 2014
2219,2219,Fri 3 Oct,19:45,Bath Rugby,21-11,Saracens,Recreation Ground,2014-2015,21,11,Fri 3 Oct 2014
2220,2220,Sat 4 Oct,15:00,Harlequins,52-0,London Welsh,Twickenham Stoop,2014-2015,52,0,Sat 4 Oct 2014
2221,2221,Sat 4 Oct,15:00,London Irish,12-19,Northampton Saints,Madejski Stadium,2014-2015,12,19,Sat 4 Oct 2014
2222,2222,Sat 4 Oct,15:15,Gloucester Rugby,33-16,Leicester Tigers,Kingsholm,2014-2015,33,16,Sat 4 Oct 2014
2223,2223,Sun 5 Oct,14:00,Sale Sharks,25-14,Wasps,AJ Bell Stadium,2014-2015,25,14,Sun 5 Oct 2014
2224,2224,Sun 5 Oct,15:00,Newcastle Falcons,29-24,Exeter Chiefs,Kingston Park,2014-2015,29,24,Sun 5 Oct 2014
2225,2225,Fri 10 Oct,19:45,Leicester Tigers,22-16,Harlequins,Welford Road,2014-2015,22,16,Fri 10 Oct 2014
2226,2226,Sat 11 Oct,14:30,London Welsh,3-23,Newcastle Falcons,Kassam Stadium,2014-2015,3,23,Sat 11 Oct 2014
2227,2227,Sat 11 Oct,15:00,Exeter Chiefs,44-24,London Irish,Sandy Park,2014-2015,44,24,Sat 11 Oct 2014
2228,2228,Sat 11 Oct,15:00,Saracens,28-21,Gloucester Rugby,Allianz Park,2014-2015,28,21,Sat 11 Oct 2014
2229,2229,Sat 11 Oct,15:15,Northampton Saints,43-10,Sale Sharks,Franklin's Gardens,2014-2015,43,10,Sat 11 Oct 2014
2230,2230,Sun 12 Oct,14:00,Wasps,29-22,Bath Rugby,Adams Park,2014-2015,29,22,Sun 12 Oct 2014
2231,2231,Fri 14 Nov,19:45,Gloucester Rugby,15-22,Harlequins,Kingsholm,2014-2015,15,22,Fri 14 Nov 2014
2232,2232,Fri 14 Nov,19:45,Northampton Saints,18-24,Exeter Chiefs,Franklin's Gardens,2014-2015,18,24,Fri 14 Nov 2014
2233,2233,Sat 15 Nov,12:00,Sale Sharks,36-8,London Irish,AJ Bell Stadium,2014-2015,36,8,Sat 15 Nov 2014
2234,2234,Sat 15 Nov,17:00,Bath Rugby,23-14,Newcastle Falcons,Recreation Ground,2014-2015,23,14,Sat 15 Nov 2014
2235,2235,Sun 16 Nov,13:00,Leicester Tigers,21-21,Saracens,Welford Road,2014-2015,21,21,Sun 16 Nov 2014
2236,2236,Sun 16 Nov,15:15,Wasps,71-7,London Welsh,Adams Park,2014-2015,71,7,Sun 16 Nov 2014
2237,2237,Fri 21 Nov,19:45,Harlequins,12-16,Sale Sharks,Twickenham Stoop,2014-2015,12,16,Fri 21 Nov 2014
2238,2238,Fri 21 Nov,20:00,Newcastle Falcons,20-10,Gloucester Rugby,Kingston Park,2014-2015,20,10,Fri 21 Nov 2014
2239,2239,Sat 22 Nov,15:00,Exeter Chiefs,31-15,Wasps,Sandy Park,2014-2015,31,15,Sat 22 Nov 2014
2240,2240,Sat 22 Nov,15:00,London Irish,23-33,Bath Rugby,Madejski Stadium,2014-2015,23,33,Sat 22 Nov 2014
2241,2241,Sun 23 Nov,13:00,Saracens,24-31,Northampton Saints,Allianz Park,2014-2015,24,31,Sun 23 Nov 2014
2242,2242,Sun 23 Nov,15:15,London Welsh,5-26,Leicester Tigers,Kassam Stadium,2014-2015,5,26,Sun 23 Nov 2014
2243,2243,Fri 28 Nov,19:45,Bath Rugby,25-6,Harlequins,Recreation Ground,2014-2015,25,6,Fri 28 Nov 2014
2244,2244,Sat 29 Nov,15:00,Leicester Tigers,18-16,Wasps,Welford Road,2014-2015,18,16,Sat 29 Nov 2014
2245,2245,Sat 29 Nov,16:30,Exeter Chiefs,27-19,Saracens,Sandy Park,2014-2015,27,19,Sat 29 Nov 2014
2246,2246,Sun 30 Nov,13:00,London Irish,9-21,Gloucester Rugby,Madejski Stadium,2014-2015,9,21,Sun 30 Nov 2014
2247,2247,Sun 30 Nov,14:30,London Welsh,14-43,Northampton Saints,Kassam Stadium,2014-2015,14,43,Sun 30 Nov 2014
2248,2248,Sun 30 Nov,15:15,Newcastle Falcons,13-18,Sale Sharks,Kingston Park,2014-2015,13,18,Sun 30 Nov 2014
2249,2249,Fri 19 Dec,19:45,Sale Sharks,18-11,Exeter Chiefs,AJ Bell Stadium,2014-2015,18,11,Fri 19 Dec 2014
2250,2250,Sat 20 Dec,15:00,Harlequins,15-7,Newcastle Falcons,Twickenham Stoop,2014-2015,15,7,Sat 20 Dec 2014
2251,2251,Sat 20 Dec,15:00,Saracens,78-7,London Welsh,Allianz Park,2014-2015,78,7,Sat 20 Dec 2014
2252,2252,Sat 20 Dec,15:15,Northampton Saints,23-19,Leicester Tigers,Franklin's Gardens,2014-2015,23,19,Sat 20 Dec 2014
2253,2253,Sat 20 Dec,17:30,Gloucester Rugby,16-39,Bath Rugby,Kingsholm,2014-2015,16,39,Sat 20 Dec 2014
2254,2254,Sun 21 Dec,14:00,Wasps,48-16,London Irish,Ricoh Arena,2014-2015,48,16,Sun 21 Dec 2014
2255,2255,Fri 26 Dec,15:00,London Irish,24-9,London Welsh,Madejski Stadium,2014-2015,24,9,Fri 26 Dec 2014
2256,2256,Sat 27 Dec,14:00,Bath Rugby,31-14,Exeter Chiefs,Recreation Ground,2014-2015,31,14,Sat 27 Dec 2014
2257,2257,Sat 27 Dec,14:00,Sale Sharks,30-32,Leicester Tigers,AJ Bell Stadium,2014-2015,30,32,Sat 27 Dec 2014
2258,2258,Sat 27 Dec,15:00,Newcastle Falcons,23-25,Saracens,Kingston Park,2014-2015,23,25,Sat 27 Dec 2014
2259,2259,Sat 27 Dec,16:30,Harlequins,25-30,Northampton Saints,Twickenham Stadium,2014-2015,25,30,Sat 27 Dec 2014
2260,2260,Sun 28 Dec,14:30,Gloucester Rugby,23-30,Wasps,Kingsholm,2014-2015,23,30,Sun 28 Dec 2014
2261,2261,Fri 2 Jan,19:45,Northampton Saints,39-31,Newcastle Falcons,Franklin's Gardens,2014-2015,39,31,Fri 2 Jan 2015
2262,2262,Sat 3 Jan,14:00,Saracens,22-6,London Irish,Allianz Park,2014-2015,22,6,Sat 3 Jan 2015
2263,2263,Sat 3 Jan,16:30,Exeter Chiefs,25-26,Gloucester Rugby,Sandy Park,2014-2015,25,26,Sat 3 Jan 2015
2264,2264,Sun 4 Jan,14:00,Leicester Tigers,17-8,Bath Rugby,Welford Road,2014-2015,17,8,Sun 4 Jan 2015
2265,2265,Sun 4 Jan,14:00,Wasps,41-16,Sale Sharks,Ricoh Arena,2014-2015,41,16,Sun 4 Jan 2015
2266,2266,Sun 4 Jan,14:30,London Welsh,13-24,Harlequins,Kassam Stadium,2014-2015,13,24,Sun 4 Jan 2015
2267,2267,Fri 9 Jan,19:45,Gloucester Rugby,24-23,Saracens,Kingsholm,2014-2015,24,23,Fri 9 Jan 2015
2268,2268,Sat 10 Jan,14:00,Sale Sharks,20-7,Northampton Saints,AJ Bell Stadium,2014-2015,20,7,Sat 10 Jan 2015
2269,2269,Sat 10 Jan,15:00,Bath Rugby,39-26,Wasps,Recreation Ground,2014-2015,39,26,Sat 10 Jan 2015
2270,2270,Sat 10 Jan,15:15,Harlequins,32-12,Leicester Tigers,Twickenham Stoop,2014-2015,32,12,Sat 10 Jan 2015
2271,2271,Sun 11 Jan,14:00,Newcastle Falcons,38-7,London Welsh,Kingston Park,2014-2015,38,7,Sun 11 Jan 2015
2272,2272,Sun 11 Jan,15:00,London Irish,28-26,Exeter Chiefs,Madejski Stadium,2014-2015,28,26,Sun 11 Jan 2015
2273,2273,Fri 13 Feb,19:45,Leicester Tigers,18-15,Gloucester Rugby,Welford Road,2014-2015,18,15,Fri 13 Feb 2015
2274,2274,Fri 13 Feb,19:45,Northampton Saints,15-9,London Irish,Franklin's Gardens,2014-2015,15,9,Fri 13 Feb 2015
2275,2275,Sat 14 Feb,16:30,Exeter Chiefs,46-17,Newcastle Falcons,Sandy Park,2014-2015,46,17,Sat 14 Feb 2015
2276,2276,Sun 15 Feb,13:00,London Welsh,12-52,Sale Sharks,Kassam Stadium,2014-2015,12,52,Sun 15 Feb 2015
2277,2277,Sun 15 Feb,13:00,Saracens,34-24,Bath Rugby,Allianz Park,2014-2015,34,24,Sun 15 Feb 2015
2278,2278,Sun 15 Feb,14:00,Wasps,37-6,Harlequins,Ricoh Arena,2014-2015,37,6,Sun 15 Feb 2015
2279,2279,Fri 20 Feb,19:45,Newcastle Falcons,23-23,Wasps,Kingston Park,2014-2015,23,23,Fri 20 Feb 2015
2280,2280,Sat 21 Feb,14:00,Sale Sharks,14-10,Saracens,AJ Bell Stadium,2014-2015,14,10,Sat 21 Feb 2015
2281,2281,Sat 21 Feb,15:00,Gloucester Rugby,48-10,London Welsh,Kingsholm,2014-2015,48,10,Sat 21 Feb 2015
2282,2282,Sat 21 Feb,15:00,Harlequins,21-32,Exeter Chiefs,Twickenham Stoop,2014-2015,21,32,Sat 21 Feb 2015
2283,2283,Sat 21 Feb,15:15,Bath Rugby,13-21,Northampton Saints,Recreation Ground,2014-2015,13,21,Sat 21 Feb 2015
2284,2284,Sun 22 Feb,14:00,London Irish,6-12,Leicester Tigers,Madejski Stadium,2014-2015,6,12,Sun 22 Feb 2015
2285,2285,Fri 27 Feb,19:45,Northampton Saints,17-13,Harlequins,Franklin's Gardens,2014-2015,17,13,Fri 27 Feb 2015
2286,2286,Sat 28 Feb,14:30,London Welsh,12-50,London Irish,Kassam Stadium,2014-2015,12,50,Sat 28 Feb 2015
2287,2287,Sat 28 Feb,15:00,Leicester Tigers,28-8,Sale Sharks,Welford Road,2014-2015,28,8,Sat 28 Feb 2015
